name,filter_query
"Recovery Journey Invocations","@message:*Request?started* @message:*anonymous_invoke* @message:*policy_request_id* @message:*ama-rejection-recovery*"
"Backend & Management - unsupported_grant","@uri:\/api\/v2\/oidc\/bindid-oidc\/token @message:*unsupported_grant_type* @message:*Unsupported?grant?type*"
"Backend & Management â€“ invalid_grant","@uri:\/api\/v2\/oidc\/bindid-oidc\/token @message:*invalid_grant*"
"End User - invalid_client","@uri:\/api\/v2\/oidc\/bindid-oidc\/authorize* @message:*invalid_client* @message:*Invalid?client?credentials*"
"Invalid Request - Invalid redirect URI on /authorize","@uri:\/api\/v2\/oidc\/bindid-oidc\/authorize\?* @message:*invalid_request* @message:*Invalid?redirect?uri*"
"Invalid Request - Missing client_id on /authorize","@uri:\/api\/v2\/oidc\/bindid-oidc\/authorize\?* @message:*invalid_request* @message:*Missing??\""client_id*"
"Invalid authentication to BindID Backend API","@uri:\/api\/v2\/server-api\/anonymous_invoke?aid=bindid-backend-api @message:*api_error_code?\:?invalid_auth*"
"Invalid client credentials on /token","@uri:\/api\/v2\/oidc\/bindid-oidc\/token @message:*error?\:?invalid_client*"
"Number of ""Alias already set"" Errors","@message:*api_error_code* @message:*alias_already_set*"
"User not found for backend/management support APIs","(@uri:\/api\/v2\/mng-ui\/support\/user* @message:*User?not?found*) OR (@uri:\/api\/v2\/mng-ui\/reports\/user* @message:*User?not?found*)"
"Management Console Bad Logins","(@uri:\/api\/v2\/mng-ui\/* @message:*Bad?administrator?session*) OR (@uri:\/api\/v2\/mng-ui\/* @message:*Bad?credentials?provided*)"
"FIDO Registration Failures","@message:*\""assertion_error_code\:9\""*"
"Invalid HTTP Method: Frontend/End-User","@statusCode:500 @uri:\/api\/v2\/auth\/* @message:*rejection\:?MethodRejection*"
"Invalid HTTP Method: Backend/Management","@statusCode:500 -@uri:\/api\/v2\/auth\/* @message:*rejection\:?MethodRejection*"
"500: End-Users","@statusCode:500 @uri:(\/api\/v2\/auth\/* OR \/api\/v2\/oidc\/bindid-oidc\/complete) -@message:*rejection\:?MethodRejection* -@message:*client?returned?from?error* -@message:*cannot_consume_ticket*"
"Ticket consumption errors","@statusCode:401 @message:*cannot_consume_ticket* status:error"
"User Cancellation","@statusCode:(400 OR 401 OR 404) ((@uri:\/api\/v2\/auth\/assert\?aid\=bindid-ama* @message:*bindid_error_user_declined_title*) OR (@uri:\/api\/v2\/auth\/assert\?aid\=bindid-oidc* @message:*Authentication?cancelled?by?the?user*) OR (@uri:\/api\/v2\/auth\/login\?aid\=bindid-oidc* @message:*Authentication?cancelled?by?the?user*)) @errorCode:4001"
"500: Backend & Management","(@statusCode:500 OR @status:500) -@uri:\/api\/v2\/auth\/* -@uri:\/api\/v2\/oidc\/bindid-oidc\/complete -@message:*rejection\:?MethodRejection* -@message:*client?returned?from?error* -@message:*cannot_consume_ticket*"
"User not found errors","@uri:\/api\/v2\/auth\/* (@statusCode:400 OR @statusCode:401 OR @statusCode:404 OR @status:(400 OR 401)) @message:*User?not?found*"
"Device not found errors","@uri:\/api\/v2\/auth\/* (@statusCode:400 OR @statusCode:401 OR @statusCode:404 OR @status:(400 OR 401)) @message:*Device?not?found*"
"All Invalid Request Errors on /authorize","@uri:\/api\/v2\/oidc\/bindid-oidc\/authorize\?* @message:*invalid_request*"
"Unknown authorization code on /token","@status:400 @message:*Unknown?authorization?code*"
"OIDC /complete with errors","@message:*Client?returned?with?error*"
"Expression evaluation errors","@message:*Unexpected?exception?during?field?resolution*"
"OIDC Backend invalid_request errors","@uri:\/api\/v2\/oidc\/* @message:*error\:?invalid_request*"